  图形号               = 19
  厂站ID号             = -1

  应用号      图元KEY_ID号      端子号    节点编号  图形端OBJ_ID号 
  1000        230000522         0         1         30000000       
  1000        230000521         0         2         30000001       
  1000        242000716         0         4         36000000       
  1000        242000714         0         17        36000001       
  1000        220001802         0         10        100000000      
  1000        220001802         1         18        100000000      
  1000        220001803         0         19        100000001      
  1000        220001803         1         20        100000001      
  1000        220001804         0         21        100000002      
  1000        220001804         1         22        100000002      
  1000        220001807         0         23        100000003      
  1000        220001807         1         24        100000003      
  1000        220001806         0         25        100000004      
  1000        220001806         1         26        100000004      
  1000        220001805         0         27        100000005      
  1000        220001805         1         28        100000005      
  1000        220001810         0         9         100000006      
  1000        220001810         1         11        100000006      
  1000        220001809         0         12        100000007      
  1000        220001809         1         13        100000007      
  1000        220001808         0         14        100000008      
  1000        220001808         1         15        100000008      
  1000        221004605         0         2         101000000      
  1000        221004605         1         10        101000000      
  1000        221004606         0         18        101000001      
  1000        221004606         1         5         101000001      
  1000        221004607         0         5         101000002      
  1000        221004607         1         19        101000002      
  1000        221004608         0         20        101000003      
  1000        221004608         1         6         101000003      
  1000        221004609         0         6         101000004      
  1000        221004609         1         21        101000004      
  1000        221004610         0         22        101000005      
  1000        221004610         1         1         101000005      
  1000        221004615         0         4         101000006      
  1000        221004615         1         23        101000006      
  1000        221004616         0         24        101000007      
  1000        221004616         1         1         101000007      
  1000        221004613         0         3         101000008      
  1000        221004613         1         25        101000008      
  1000        221004614         0         26        101000009      
  1000        221004614         1         4         101000009      
  1000        221004611         0         2         101000010      
  1000        221004611         1         27        101000010      
  1000        221004612         0         28        101000011      
  1000        221004612         1         3         101000011      
  1000        221004621         0         17        101000012      
  1000        221004621         1         9         101000012      
  1000        221004622         0         11        101000013      
  1000        221004622         1         1         101000013      
  1000        221004619         0         16        101000014      
  1000        221004619         1         12        101000014      
  1000        221004620         0         13        101000015      
  1000        221004620         1         17        101000015      
  1000        221004617         0         2         101000016      
  1000        221004617         1         14        101000016      
  1000        221004618         0         15        101000017      
  1000        221004618         1         16        101000017      
  1000        251000483         0         6         102000000      
  1000        251000484         0         7         102000000      
  1000        251000489         0         3         102000001      
  1000        251000490         0         8         102000001      
  -1          -1                0         7         130000000      
  -1          -1                0         8         130000001      
